index,tails,heads,LargestTailStreak,LargestHeadStreak
1,499835,500165,19,19
2,499523,500477,19,21
3,500360,499640,19,16
4,500496,499504,18,20
5,500199,499801,21,17
6,500057,499943,22,22
7,499722,500278,22,18
8,499609,500391,18,23
9,500255,499745,19,19
10,499835,500165,18,18
11,499925,500075,19,18
12,500573,499427,17,22
13,500283,499717,19,18
14,500200,499800,18,20
15,499254,500746,18,23
16,500039,499961,20,21
17,499803,500197,19,19
18,499546,500454,17,20
19,500414,499586,17,18
20,499861,500139,19,20
21,499375,500625,19,18
22,499701,500299,18,17
23,499918,500082,18,19
24,499372,500628,21,17
25,499899,500101,19,18
26,500204,499796,18,20
27,500107,499893,18,18
28,500733,499267,19,17
29,499862,500138,19,18
30,499198,500802,18,20
31,499399,500601,20,17
32,500486,499514,25,19
33,500626,499374,21,17
34,500865,499135,17,19
35,499824,500176,17,21
36,500451,499549,19,22
37,499428,500572,18,20
38,500322,499678,21,18
39,499771,500229,21,19
40,500280,499720,20,17
41,499618,500382,20,19
42,500327,499673,19,19
43,499792,500208,21,18
44,499009,500991,16,17
45,499906,500094,19,19
46,500645,499355,19,20
47,499779,500221,23,19
48,500158,499842,17,17
49,500395,499605,17,19
50,500458,499542,20,17
51,500103,499897,21,22
52,499558,500442,21,20
53,499856,500144,19,23
54,499541,500459,19,18
55,500130,499870,18,19
56,500611,499389,18,19
57,499887,500113,19,17
58,499837,500163,19,20
59,500251,499749,21,24
60,500454,499546,20,18
61,499474,500526,19,19
62,500086,499914,21,17
63,499193,500807,21,20
64,500390,499610,20,19
65,499471,500529,29,19
66,500030,499970,17,21
67,498807,501193,19,25
68,501184,498816,18,20
69,499617,500383,20,17
70,498589,501411,18,20
71,499317,500683,22,18
72,500361,499639,20,22
73,499728,500272,20,17
74,499956,500044,21,21
75,500053,499947,22,18
76,499165,500835,19,18
77,500145,499855,18,24
78,500146,499854,18,17
79,499143,500857,19,23
80,499509,500491,22,22
81,500177,499823,18,17
82,500165,499835,22,21
83,499254,500746,19,21
84,500258,499742,18,21
85,499495,500505,19,18
86,500271,499729,19,18
87,500663,499337,18,18
88,500377,499623,17,16
89,499452,500548,18,20
90,499970,500030,19,20
91,500582,499418,20,18
92,499688,500312,17,18
93,500262,499738,22,24
94,499477,500523,19,18
95,500254,499746,18,21
96,499881,500119,20,17
97,498890,501110,21,20
98,499916,500084,16,19
99,500365,499635,20,19
100,500104,499896,18,20
101,500412,499588,17,22
102,501126,498874,18,19
103,499989,500011,21,19
104,499895,500105,21,18
105,501051,498949,17,21
106,500515,499485,19,18
107,500000,500000,18,21
108,499804,500196,20,19
109,499682,500318,18,19
110,500161,499839,16,17
111,500843,499157,19,19
112,499793,500207,20,18
113,500144,499856,19,22
114,500027,499973,18,19
115,498988,501012,20,17
116,500203,499797,20,19
117,500093,499907,18,19
118,500813,499187,20,18
119,499842,500158,21,19
120,500171,499829,18,16
121,500157,499843,20,22
122,499573,500427,22,18
123,500489,499511,18,20
124,499358,500642,18,20
125,499583,500417,21,22
126,500443,499557,22,18
127,499963,500037,19,18
128,499154,500846,17,18
129,499795,500205,18,17
130,500171,499829,18,20
131,499815,500185,19,24
132,499801,500199,25,22
133,499415,500585,19,20
134,500567,499433,21,18
135,500038,499962,18,19
136,500119,499881,19,18
137,500474,499526,18,19
138,499457,500543,17,19
139,500317,499683,20,19
140,501219,498781,22,18
141,500216,499784,18,18
142,499594,500406,19,24
143,499987,500013,19,20
144,499686,500314,18,20
145,499900,500100,18,18
146,500329,499671,17,18
147,500149,499851,18,17
148,499361,500639,17,17
149,499329,500671,18,19
150,500348,499652,23,23
151,499482,500518,17,17
152,499866,500134,19,23
153,500611,499389,18,20
154,500673,499327,19,17
155,499709,500291,18,19
156,500046,499954,18,21
157,500102,499898,18,21
158,499997,500003,18,18
159,499557,500443,16,17
160,499428,500572,21,20
161,500363,499637,18,22
162,499688,500312,22,19
163,500678,499322,16,20
164,499750,500250,17,19
165,500530,499470,19,17
166,499850,500150,19,19
167,499771,500229,19,18
168,500007,499993,19,18
169,499664,500336,20,23
170,499698,500302,19,19
171,500210,499790,17,31
172,499334,500666,20,17
173,499908,500092,22,19
174,499952,500048,18,20
175,499341,500659,20,17
176,500177,499823,21,16
177,499645,500355,18,18
178,499176,500824,18,19
179,499513,500487,18,22
180,499997,500003,18,17
181,499879,500121,19,19
182,500308,499692,17,20
183,500049,499951,19,20
184,499987,500013,19,19
185,500297,499703,22,18
186,501008,498992,18,19
187,499658,500342,17,30
188,500366,499634,25,18
189,499972,500028,18,20
190,500759,499241,20,21
191,500823,499177,18,21
192,499808,500192,17,23
193,500288,499712,18,19
194,499575,500425,17,22
195,500214,499786,24,21
196,499396,500604,21,23
197,499098,500902,17,18
198,499771,500229,19,21
199,499617,500383,20,18
200,499175,500825,20,17
201,499420,500580,18,17
202,499595,500405,19,19
203,498938,501062,18,19
204,499917,500083,20,21
205,500235,499765,24,20
206,501216,498784,17,20
207,500687,499313,20,20
208,499504,500496,18,18
209,500222,499778,18,19
210,499951,500049,20,19
211,500321,499679,18,16
212,500411,499589,19,16
213,499474,500526,19,20
214,501250,498750,19,19
215,499882,500118,21,18
216,500491,499509,21,20
217,500361,499639,17,22
218,499076,500924,21,19
219,499676,500324,18,21
220,500206,499794,18,18
221,499656,500344,22,19
222,500080,499920,22,20
223,499785,500215,22,24
224,499663,500337,19,19
225,499974,500026,19,19
226,500050,499950,19,21
227,500211,499789,19,18
228,500943,499057,21,17
229,499024,500976,22,20
230,499569,500431,19,18
231,500503,499497,20,23
232,499381,500619,19,18
233,499093,500907,19,18
234,499618,500382,18,21
235,500961,499039,21,19
236,499758,500242,19,19
237,500304,499696,20,19
238,499437,500563,20,17
239,499990,500010,19,17
240,499641,500359,21,22
241,499028,500972,17,21
242,500622,499378,18,18
243,499424,500576,19,19
244,499804,500196,22,17
245,500769,499231,19,17
246,499944,500056,18,19
247,499867,500133,17,18
248,500950,499050,20,17
249,499292,500708,18,21
250,499365,500635,18,21
251,501218,498782,22,21
252,500258,499742,18,18
253,501004,498996,26,19
254,500336,499664,19,22
255,500077,499923,19,20
256,500682,499318,18,18
257,500176,499824,22,18
258,500804,499196,19,18
259,499780,500220,19,25
260,499927,500073,19,18
261,500131,499869,18,17
262,500391,499609,19,20
263,499614,500386,18,21
264,499910,500090,19,18
265,500636,499364,19,20
266,500078,499922,19,21
267,499745,500255,20,22
268,500754,499246,16,20
269,500160,499840,18,19
270,500697,499303,16,22
271,499591,500409,19,19
272,499403,500597,22,18
273,500162,499838,18,24
274,499563,500437,19,22
275,500785,499215,18,18
276,499722,500278,23,19
277,499659,500341,19,20
278,500363,499637,19,24
279,499310,500690,17,19
280,500871,499129,19,17
281,499682,500318,20,20
282,500476,499524,19,20
283,499085,500915,18,23
284,499307,500693,19,18
285,499731,500269,18,17
286,500224,499776,18,19
287,499843,500157,20,20
288,500686,499314,19,26
289,499467,500533,21,19
290,499837,500163,17,21
291,499825,500175,17,18
292,500048,499952,19,21
293,499651,500349,19,17
294,500711,499289,20,19
295,499330,500670,18,17
296,499065,500935,19,23
297,499871,500129,18,18
298,499986,500014,16,20
299,500509,499491,17,18
300,500026,499974,23,18
301,500579,499421,20,21
302,500605,499395,18,18
303,499712,500288,21,19
304,500587,499413,16,20
305,500577,499423,19,19
306,500006,499994,24,18
307,499814,500186,17,18
308,500083,499917,21,20
309,499524,500476,17,21
310,499579,500421,17,21
