index,tails,LargestTailStreak,LargestHeadStreak
1,1,1,3
2,10,8,2
3,0,0,3
4,0,0,3
5,6,3,1
6,2,2,2
7,1,1,2
8,2,2,2
9,5,2,1
10,8,7,2
11,5,3,1
12,1,1,3
13,4,3,2
14,1,1,2
15,6,4,2
16,3,2,1
17,0,0,3
18,2,1,2
19,0,0,3
20,1,1,3
21,1,1,3
22,2,1,2
23,0,0,3
24,4,2,1
25,3,2,1
26,0,0,3
27,6,3,1
28,3,2,1
29,1,1,2
30,3,2,2
31,3,3,2
32,3,3,2
33,2,1,2
34,1,1,2
35,2,1,2
36,5,3,1
37,0,0,3
38,3,2,2
39,2,2,2
40,5,5,2
41,5,4,1
42,0,0,3
43,0,0,3
44,5,3,1
45,1,1,3
46,3,1,1
47,0,0,3
48,1,1,2
49,2,1,2
50,1,1,3
51,3,3,2
52,3,2,1
53,6,4,2
54,2,2,2
55,4,2,1
56,1,1,2
57,3,2,2
58,1,1,3
59,3,3,2
60,0,0,3
61,0,0,3
62,6,2,1
63,2,1,2
64,4,3,2
65,2,1,2
66,7,5,1
67,1,1,3
68,3,2,2
69,3,3,2
70,9,6,2
71,6,4,1
72,2,1,2
73,3,3,3
74,0,0,3
75,4,2,1
76,3,2,2
77,5,3,1
78,0,0,3
79,1,1,2
80,11,4,1
81,0,0,3
82,4,2,1
83,4,2,1
84,3,2,2
85,2,2,3
86,3,2,2
87,2,1,2
88,1,1,2
89,2,2,2
90,7,6,2
91,0,0,3
92,1,1,3
93,2,1,1
94,3,2,2
95,0,0,3
96,2,1,1
97,0,0,3
98,3,2,1
99,5,3,1
100,9,4,1
101,1,1,2
102,3,3,2
103,8,4,1
104,1,1,2
105,2,1,2
106,2,1,2
107,8,7,1
108,5,4,2
109,4,3,2
110,0,0,3
111,7,3,1
112,4,3,1
113,2,1,1
114,2,1,1
115,0,0,3
116,5,4,1
117,1,1,3
118,2,1,2
119,8,6,1
120,0,0,3
121,3,2,1
122,2,1,2
123,4,2,1
124,1,1,3
125,3,2,2
126,1,1,2
127,1,1,2
128,2,2,2
129,3,2,1
130,0,0,3
131,0,0,3
132,4,3,1
133,0,0,3
134,2,1,2
135,4,3,1
136,1,1,3
137,5,3,2
138,4,4,3
139,4,2,1
140,1,1,2
141,3,2,1
142,1,1,2
143,1,1,2
144,2,2,2
145,3,2,2
146,1,1,2
147,6,3,2
148,2,2,2
149,1,1,3
150,2,1,2
151,4,2,1
152,7,5,2
153,2,1,1
154,2,2,2
155,2,2,2
156,1,1,2
157,1,1,3
158,12,5,1
159,3,2,2
160,5,4,1
161,6,5,2
162,3,3,2
163,3,2,1
164,4,3,2
165,2,1,2
166,10,5,1
167,7,4,1
168,3,2,2
169,5,3,1
170,7,4,2
171,0,0,3
172,1,1,3
173,3,2,2
174,3,3,2
175,1,1,3
176,2,2,3
177,7,4,1
178,1,1,2
179,1,1,3
180,1,1,3
181,2,2,3
182,2,1,1
183,6,3,1
184,5,2,1
185,9,6,1
186,3,2,2
187,3,2,2
188,1,1,3
189,3,2,1
190,4,3,2
191,1,1,2
192,3,1,1
193,3,2,2
194,4,3,1
195,11,6,1
196,2,2,2
197,3,2,1
198,3,2,2
199,2,2,2
200,8,5,2
201,0,0,3
202,3,2,2
203,1,1,3
204,4,3,2
205,3,3,2
206,1,1,2
207,5,2,1
208,1,1,2
209,4,3,2
210,2,2,3
211,0,0,3
212,3,2,2
213,0,0,3
214,3,2,2
215,2,1,2
216,2,1,1
217,1,1,2
218,2,2,2
219,0,0,3
220,7,3,1
221,7,3,1
222,0,0,3
223,3,2,2
224,2,1,2
225,0,0,3
226,4,3,1
227,1,1,2
228,5,3,1
229,6,2,1
230,2,2,2
231,0,0,3
232,3,2,2
233,6,4,2
234,3,2,1
235,6,6,3
236,4,2,2
237,4,3,2
238,1,1,3
239,4,3,2
240,4,3,1
241,0,0,3
242,5,5,2
243,3,2,2
244,5,4,2
245,1,1,3
246,6,5,2
247,2,1,1
248,6,4,1
249,1,1,3
250,0,0,3
251,0,0,3
252,0,0,3
253,5,3,1
254,1,1,3
255,1,1,3
256,8,7,2
257,6,5,1
258,6,2,1
259,5,4,1
260,2,1,1
261,3,3,2
262,1,1,3
263,7,6,2
264,3,2,2
265,3,2,2
266,2,2,3
267,2,2,3
268,2,2,2
269,3,2,2
270,1,1,3
271,1,1,2
272,5,3,1
273,2,1,2
274,3,3,2
275,0,0,3
276,3,2,2
277,2,2,3
278,0,0,3
279,4,3,2
280,3,2,2
281,3,2,2
282,6,5,2
283,2,1,1
284,2,2,2
285,0,0,3
286,6,3,1
287,3,3,2
288,1,1,2
289,0,0,3
290,2,1,2
291,8,7,1
292,3,3,2
293,2,2,2
294,2,2,2
295,1,1,3
296,5,2,1
297,5,2,1
298,3,2,2
299,3,2,2
300,3,3,3
301,2,2,2
302,4,3,2
303,2,1,2
304,8,4,1
305,0,0,3
306,0,0,3
307,3,2,1
308,2,1,2
309,8,7,2
310,3,2,2
311,1,1,3
312,2,2,2
313,6,4,1
314,0,0,3
315,3,2,2
316,1,1,3
317,2,2,2
318,1,1,3
319,3,2,2
320,0,0,3
321,4,4,3
322,2,2,3
323,5,3,2
324,4,3,2
325,0,0,3
326,4,2,2
327,3,3,3
328,0,0,3
329,1,1,2
330,6,5,1
331,8,8,2
332,2,2,2
333,3,2,2
334,6,3,1
335,1,1,3
336,2,1,2
337,2,1,1
338,2,1,2
339,1,1,3
340,1,1,2
341,0,0,3
342,2,2,2
343,1,1,2
344,4,2,1
345,4,4,2
346,1,1,2
347,2,2,2
348,2,2,2
349,5,5,2
350,4,3,2
351,0,0,3
352,5,3,1
353,5,4,2
354,0,0,3
355,0,0,3
356,1,1,2
357,6,6,3
358,1,1,3
359,1,1,2
360,4,3,2
361,0,0,3
362,7,4,1
363,6,3,1
364,3,3,2
365,5,4,1
366,4,2,1
367,0,0,3
368,1,1,2
369,4,2,1
370,1,1,2
371,3,2,1
372,2,2,3
373,1,1,2
374,2,1,1
375,5,5,2
376,4,2,1
377,3,2,2
378,6,4,2
379,2,1,2
380,1,1,3
381,4,2,2
382,2,1,2
383,0,0,3
384,2,1,2
385,1,1,2
386,3,2,1
387,3,2,1
388,6,3,1
389,0,0,3
390,3,3,2
391,2,1,2
392,1,1,2
393,4,3,2
394,2,1,2
395,1,1,2
396,2,2,2
397,0,0,3
398,1,1,3
399,0,0,3
400,2,2,2
401,4,4,3
402,0,0,3
403,5,3,2
404,0,0,3
405,3,3,2
406,4,3,2
407,5,4,2
408,6,4,2
409,0,0,3
410,1,1,2
411,4,2,1
412,1,1,2
413,3,2,1
414,1,1,2
415,0,0,3
416,3,2,2
417,2,2,2
418,0,0,3
419,7,6,1
420,7,4,2
421,0,0,3
422,2,1,2
423,10,5,2
424,2,1,1
425,1,1,2
426,3,2,1
427,1,1,2
428,1,1,2
429,3,2,1
430,0,0,3
431,3,2,2
432,2,2,3
433,7,6,2
434,0,0,3
435,0,0,3
436,5,4,2
437,6,3,2
438,4,3,2
439,4,2,1
440,1,1,2
441,2,2,2
442,4,2,2
443,1,1,2
444,3,1,1
445,2,2,2
446,9,6,2
447,4,3,2
448,2,1,1
449,2,2,2
450,2,1,1
451,1,1,3
452,3,2,2
453,0,0,3
454,8,6,2
455,2,1,1
456,1,1,2
457,3,3,2
458,2,1,2
459,0,0,3
460,2,2,2
461,1,1,3
462,3,2,1
463,4,2,1
464,5,3,1
465,3,2,1
466,2,2,2
467,2,2,3
468,2,2,2
469,6,5,2
470,3,3,2
471,4,2,1
472,2,1,1
473,2,2,2
474,3,1,1
475,6,5,1
476,6,3,1
477,0,0,3
478,7,5,2
479,0,0,3
480,6,4,1
481,4,4,2
482,4,3,1
483,0,0,3
484,3,1,1
485,0,0,3
486,2,2,2
487,2,2,2
488,4,2,1
489,11,9,1
490,3,2,2
491,1,1,3
492,4,3,2
493,2,2,2
494,1,1,2
495,3,1,1
496,3,2,2
497,2,1,1
498,4,3,2
499,7,3,1
500,7,7,2
501,0,0,3
502,3,2,2
503,0,0,3
504,1,1,2
505,4,4,2
506,1,1,2
507,3,2,1
508,8,6,2
509,2,2,2
510,1,1,3
511,2,2,2
512,5,3,1
513,5,3,1
514,2,2,2
515,1,1,3
516,3,1,1
517,2,2,2
518,3,3,2
519,5,2,1
520,7,4,2
521,2,1,2
522,3,2,2
523,0,0,3
524,2,2,3
525,0,0,3
526,7,7,2
527,8,4,1
528,4,2,2
529,4,2,1
530,2,1,2
531,5,2,1
532,2,1,2
533,1,1,2
534,2,2,3
535,3,2,1
536,2,1,2
537,8,7,1
538,4,3,2
539,4,3,1
540,2,1,2
541,0,0,3
542,1,1,2
543,7,5,2
544,7,4,1
545,5,2,1
546,6,6,2
547,4,2,1
548,1,1,2
549,3,3,2
550,3,3,3
551,1,1,2
552,2,1,1
553,0,0,3
554,3,2,2
555,3,2,2
556,7,3,1
557,1,1,2
558,6,3,2
559,1,1,2
560,0,0,3
561,6,4,2
562,6,4,2
