index,tails,heads,LargestTailStreak,LargestHeadStreak
1,478650,521350,12,17
2,479422,520578,12,22
3,477889,522111,11,22
4,478065,521935,12,18
5,478398,521602,12,19
6,479484,520516,12,19
7,477738,522262,12,19
8,478330,521670,13,17
9,477942,522058,11,19
10,478362,521638,12,22
11,478381,521619,11,19
12,479680,520320,13,20
13,478150,521850,14,20
14,478795,521205,13,17
15,478380,521620,11,19
16,480298,519702,14,18
17,478696,521304,12,18
18,478527,521473,11,18
19,478566,521434,13,19
20,478839,521161,12,18
21,478381,521619,12,21
22,478986,521014,12,20
23,478668,521332,12,18
24,478090,521910,12,17
25,478759,521241,12,22
26,478460,521540,12,19
27,478825,521175,11,17
28,478568,521432,13,17
29,479007,520993,12,18
30,478386,521614,13,18
31,478494,521506,12,19
32,478951,521049,11,17
33,478901,521099,11,18
34,479046,520954,12,30
35,478402,521598,12,18
36,479081,520919,13,20
37,478740,521260,12,20
38,478735,521265,12,19
39,479252,520748,11,18
40,478847,521153,12,17
41,478002,521998,11,17
42,479163,520837,12,22
43,478399,521601,13,17
44,479194,520806,14,19
45,477726,522274,11,22
46,478966,521034,13,21
47,479085,520915,12,19
48,478155,521845,12,19
49,479181,520819,11,21
50,478576,521424,12,19
51,478622,521378,12,19
52,479531,520469,12,21
53,478114,521886,12,19
54,479321,520679,11,19
55,478545,521455,13,21
56,478533,521467,13,17
57,478987,521013,12,17
58,478556,521444,11,22
59,478492,521508,13,18
60,478741,521259,12,18
61,478478,521522,12,19
62,478413,521587,12,22
63,478397,521603,12,20
64,478383,521617,12,17
65,478509,521491,14,22
66,478150,521850,12,19
67,479015,520985,12,20
68,479212,520788,13,19
69,479132,520868,13,18
70,478895,521105,14,19
71,478601,521399,12,19
72,478121,521879,11,19
73,478886,521114,13,20
74,479212,520788,12,21
75,478664,521336,13,25
76,478673,521327,11,18
77,478605,521395,12,21
78,478088,521912,11,17
79,478049,521951,12,19
80,479255,520745,12,19
81,478742,521258,12,18
82,478815,521185,11,18
83,478013,521987,12,18
84,479143,520857,12,20
85,478359,521641,12,17
86,478905,521095,13,21
87,478460,521540,12,21
88,478683,521317,11,17
89,478206,521794,12,22
90,478615,521385,13,17
91,478360,521640,13,19
92,479267,520733,13,18
93,479018,520982,13,18
94,479119,520881,12,21
95,479097,520903,11,18
96,478515,521485,14,20
97,479248,520752,11,23
98,479076,520924,12,19
99,478792,521208,12,20
100,478216,521784,11,17
101,478968,521032,12,19
102,478295,521705,13,21
103,478572,521428,12,19
104,478306,521694,13,20
105,478606,521394,12,17
106,479195,520805,13,21
107,479221,520779,14,21
108,479164,520836,13,17
109,479487,520513,12,19
110,478951,521049,12,21
111,478737,521263,13,20
112,479701,520299,12,21
113,478380,521620,13,19
114,478660,521340,13,17
115,478543,521457,13,18
116,478232,521768,11,19
117,478894,521106,13,20
118,478105,521895,12,22
119,478782,521218,12,24
120,478677,521323,11,17
121,478683,521317,12,20
122,478983,521017,13,17
123,478969,521031,12,20
124,479011,520989,13,18
125,478572,521428,11,20
126,479626,520374,12,18
127,478664,521336,11,19
128,479099,520901,12,22
129,478501,521499,11,20
130,478587,521413,13,20
131,479216,520784,13,18
132,478489,521511,11,19
133,479361,520639,12,19
134,478401,521599,11,18
135,478747,521253,12,17
136,478290,521710,12,18
137,478255,521745,12,23
138,479878,520122,13,16
139,478814,521186,12,18
140,478043,521957,11,20
141,478842,521158,12,19
142,478285,521715,12,21
143,479979,520021,16,17
144,479399,520601,11,19
145,478989,521011,12,21
146,479016,520984,13,18
147,478231,521769,12,17
148,479122,520878,12,16
149,478723,521277,12,19
150,478396,521604,13,18
151,478248,521752,12,21
152,478237,521763,12,18
153,478207,521793,12,21
154,479418,520582,13,18
155,478316,521684,12,20
156,478071,521929,13,19
157,477599,522401,12,21
158,478820,521180,13,18
159,478437,521563,13,20
160,478759,521241,12,19
161,478229,521771,13,23
162,478146,521854,12,22
163,479133,520867,12,19
164,477764,522236,12,25
165,478077,521923,13,17
166,478271,521729,11,17
167,478941,521059,12,18
168,478846,521154,12,21
169,479195,520805,13,21
170,478497,521503,13,23
171,478369,521631,12,18
172,478618,521382,13,17
173,479058,520942,12,24
174,478960,521040,13,21
175,477917,522083,12,18
176,478595,521405,13,18
177,478132,521868,12,19
178,478636,521364,13,19
179,480184,519816,13,20
180,478269,521731,13,18
181,478250,521750,12,20
182,478770,521230,12,17
183,478612,521388,13,18
184,478436,521564,12,19
185,478980,521020,12,20
186,479348,520652,12,17
187,478308,521692,12,19
188,478696,521304,12,18
189,478588,521412,12,19
190,478410,521590,11,24
191,478884,521116,11,18
192,478121,521879,12,18
193,478837,521163,12,18
194,479173,520827,11,18
195,478017,521983,12,20
196,478978,521022,13,19
197,478541,521459,13,18
198,479115,520885,13,16
199,478674,521326,13,18
200,479658,520342,12,20
201,478600,521400,12,19
202,478600,521400,12,18
203,479298,520702,13,19
204,478354,521646,13,18
205,477956,522044,13,18
206,479941,520059,12,19
207,478826,521174,13,18
208,479650,520350,13,20
209,479109,520891,12,19
210,478790,521210,12,18
211,478871,521129,13,23
212,477868,522132,12,17
