index,tails,LargestTailStreak,LargestHeadStreak
1,3,2,2
2,1,1,2
3,0,0,3
4,0,0,3
5,2,2,2
6,7,5,2
7,2,2,3
8,0,0,3
9,4,2,1
10,3,3,2
11,1,1,2
12,0,0,3
13,1,1,3
14,7,6,1
15,1,1,2
16,6,3,1
17,2,1,1
18,0,0,3
19,4,4,3
20,0,0,3
21,3,2,1
22,1,1,2
23,3,3,2
24,4,2,1
25,2,2,2
26,4,4,3
27,1,1,3
28,1,1,2
29,2,2,2
30,2,2,3
31,1,1,2
32,4,4,3
33,3,2,2
34,7,5,1
35,2,2,2
36,2,2,3
37,3,3,2
38,1,1,3
39,1,1,2
40,1,1,2
41,2,1,2
42,1,1,2
43,0,0,3
44,1,1,3
45,2,2,2
46,2,2,2
47,4,3,1
48,4,3,2
49,6,4,2
50,3,2,2
51,2,2,3
52,5,2,1
53,2,2,3
54,2,1,1
55,3,3,2
56,2,2,2
57,1,1,3
58,1,1,3
59,2,2,3
60,2,1,1
61,2,2,2
62,1,1,3
63,1,1,3
64,2,1,2
65,2,1,1
66,0,0,3
67,2,1,2
68,0,0,3
69,3,3,2
70,3,3,3
71,0,0,3
72,2,2,2
73,2,2,2
74,3,2,1
75,5,2,1
76,3,2,1
77,5,2,1
78,4,2,1
79,0,0,3
80,1,1,2
81,0,0,3
82,7,4,1
83,0,0,3
84,3,3,2
85,8,6,1
86,0,0,3
87,2,1,2
88,0,0,3
89,3,2,2
90,4,2,1
91,1,1,2
92,3,2,2
93,0,0,3
94,7,4,1
95,2,1,2
96,0,0,3
97,6,4,2
98,4,2,1
99,2,2,3
100,4,2,2
101,4,3,2
102,5,4,2
103,2,1,2
104,6,3,1
105,1,1,3
106,1,1,2
107,7,4,1
108,4,3,1
109,6,4,2
110,3,1,1
111,0,0,3
112,1,1,3
113,2,2,3
114,0,0,3
115,3,2,2
116,4,2,1
117,4,2,2
118,3,1,1
119,1,1,2
120,3,2,2
121,6,3,1
122,5,3,1
123,3,2,2
124,3,2,1
125,5,4,2
126,3,2,2
127,1,1,3
128,1,1,2
129,2,2,2
130,9,8,1
131,3,2,2
132,1,1,2
133,2,2,2
134,0,0,3
135,5,3,1
136,3,1,1
137,3,2,2
138,2,1,2
139,1,1,3
140,2,1,1
141,9,5,2
142,0,0,3
143,6,5,2
144,0,0,3
145,2,1,2
146,0,0,3
147,1,1,2
148,2,2,2
149,3,3,2
150,3,2,2
151,0,0,3
152,1,1,3
153,4,4,2
154,0,0,3
155,5,3,1
156,2,2,2
157,4,2,1
158,1,1,2
159,1,1,2
160,8,3,1
161,0,0,3
162,0,0,3
163,6,3,2
164,2,2,3
165,3,1,1
166,4,4,2
167,2,1,1
168,3,2,1
169,3,2,2
170,7,5,1
171,2,2,2
172,3,3,3
173,5,3,2
174,8,3,1
175,0,0,3
176,4,3,2
177,7,5,1
178,3,3,3
179,6,4,1
180,6,3,1
181,0,0,3
182,1,1,3
183,1,1,3
184,2,1,1
185,3,2,2
186,2,2,2
187,2,1,2
188,1,1,2
189,1,1,2
190,2,1,2
191,1,1,3
192,5,3,2
193,5,4,2
194,6,5,1
195,10,4,1
196,6,4,2
197,0,0,3
198,4,3,1
199,2,2,2
200,4,2,2
201,3,3,2
202,1,1,3
203,0,0,3
204,1,1,2
205,1,1,3
206,1,1,2
207,2,1,2
208,2,2,2
209,2,2,2
210,2,1,1
211,1,1,3
212,0,0,3
213,4,4,3
214,2,1,2
215,1,1,3
216,1,1,2
217,4,4,3
218,1,1,3
219,5,3,1
220,1,1,3
221,3,3,2
222,1,1,2
223,1,1,3
224,1,1,2
225,1,1,2
226,2,1,1
227,4,3,2
228,4,4,3
229,2,2,2
230,4,2,1
231,0,0,3
232,2,1,2
233,0,0,3
234,0,0,3
235,0,0,3
236,0,0,3
237,2,1,1
238,5,5,2
239,0,0,3
240,0,0,3
241,1,1,2
242,6,4,2
243,1,1,3
244,5,4,1
245,1,1,2
246,3,3,2
247,3,2,1
248,2,2,3
249,4,4,3
250,7,4,1
251,4,3,1
252,0,0,3
253,2,1,1
254,0,0,3
255,6,6,3
256,1,1,2
257,1,1,2
258,2,1,2
259,2,2,3
260,7,3,1
261,2,1,2
262,0,0,3
263,3,2,2
264,2,2,3
265,1,1,2
266,3,3,2
267,4,2,1
268,1,1,2
269,7,4,1
270,0,0,3
271,2,1,2
272,4,2,2
273,3,2,1
274,0,0,3
275,4,2,2
276,4,2,1
277,0,0,3
278,1,1,3
279,6,3,1
280,2,1,2
281,7,6,2
282,6,3,1
283,5,4,1
284,0,0,3
285,3,3,3
286,1,1,2
287,4,3,2
288,1,1,2
289,0,0,3
290,3,2,2
291,5,3,1
292,2,1,1
293,3,2,2
294,4,3,2
295,0,0,3
296,2,2,3
297,5,3,1
298,5,3,2
299,2,1,2
300,1,1,2
301,3,3,2
302,3,2,2
303,1,1,2
304,1,1,2
305,3,2,2
306,4,2,1
307,3,2,2
308,1,1,2
309,2,2,2
310,6,3,2
311,0,0,3
312,3,3,3
313,2,2,2
314,1,1,2
315,3,1,1
316,5,5,2
317,1,1,2
318,3,3,2
319,3,3,3
320,2,2,2
321,2,1,2
322,1,1,2
323,1,1,3
324,1,1,3
325,8,4,2
326,6,5,1
327,1,1,2
328,1,1,2
329,0,0,3
330,3,2,1
331,2,1,2
332,3,3,2
333,6,4,1
334,1,1,2
335,2,1,1
336,1,1,3
337,4,3,2
338,5,3,1
339,2,2,3
340,2,1,1
341,3,2,2
342,3,2,1
343,1,1,2
344,5,2,1
345,4,2,1
346,4,2,1
347,2,2,2
348,4,3,2
349,4,3,2
350,2,2,2
351,3,2,2
352,4,4,2
353,6,5,2
354,1,1,2
355,1,1,3
356,0,0,3
357,0,0,3
358,0,0,3
359,0,0,3
360,2,1,2
361,2,2,3
362,0,0,3
363,6,4,1
364,7,4,2
365,2,2,2
366,2,2,2
367,5,5,3
368,4,3,2
369,4,3,2
370,5,4,2
371,0,0,3
372,4,2,1
373,2,1,1
374,2,2,3
375,4,3,1
376,1,1,2
377,0,0,3
378,3,3,2
379,3,3,2
380,2,2,2
381,2,1,1
382,6,2,1
383,1,1,2
384,3,3,2
385,2,1,2
386,3,2,2
387,5,3,2
388,1,1,2
389,1,1,3
390,0,0,3
391,7,6,2
392,1,1,2
393,2,1,2
394,2,1,2
395,6,2,1
396,1,1,2
397,0,0,3
398,2,1,1
399,6,4,2
400,5,5,2
401,5,3,1
402,3,3,3
403,3,3,3
404,0,0,3
405,5,2,1
406,5,5,2
407,4,2,1
408,2,2,3
409,4,3,2
410,3,1,1
411,3,3,2
412,0,0,3
413,3,2,2
414,2,1,2
415,0,0,3
416,1,1,2
417,1,1,2
418,5,3,2
419,5,2,1
420,2,1,2
421,1,1,2
422,4,3,2
423,3,2,2
424,2,1,2
425,3,2,2
426,7,4,2
427,0,0,3
428,3,2,2
429,7,4,2
430,4,2,1
431,0,0,3
432,1,1,2
433,3,2,1
434,6,3,2
435,4,3,1
436,3,3,2
437,0,0,3
438,4,4,3
439,4,3,2
440,3,2,2
441,7,4,1
442,3,2,2
443,3,2,2
444,0,0,3
445,2,1,2
446,7,4,1
447,1,1,3
448,0,0,3
449,5,2,1
450,1,1,2
451,2,1,1
452,2,1,2
453,6,6,3
454,1,1,3
455,2,1,2
456,5,3,1
457,1,1,2
458,1,1,2
459,3,3,3
460,1,1,2
461,2,2,2
462,2,2,3
463,2,2,2
464,4,2,1
465,4,3,2
466,5,4,2
467,5,3,1
468,0,0,3
469,2,2,3
470,6,4,1
471,0,0,3
472,6,4,2
473,1,1,2
474,5,3,1
475,3,2,2
476,0,0,3
477,4,3,2
478,5,4,2
479,3,2,1
480,3,1,1
481,2,2,3
482,6,3,1
483,1,1,3
484,2,2,2
485,3,2,2
486,1,1,2
487,1,1,2
488,2,2,2
489,0,0,3
490,2,1,1
491,2,1,2
492,0,0,3
493,9,4,1
494,3,3,2
495,2,2,2
496,7,5,2
497,1,1,2
498,6,4,1
499,1,1,3
500,1,1,2
501,5,2,1
502,0,0,3
503,6,3,1
504,4,2,1
505,1,1,3
506,3,3,3
507,0,0,3
508,4,2,1
509,2,2,2
510,1,1,2
511,5,3,1
512,1,1,3
513,4,4,2
514,2,2,3
515,1,1,3
516,3,2,2
517,1,1,2
518,3,2,2
519,3,2,2
520,0,0,3
521,1,1,2
522,3,3,3
523,1,1,2
524,9,5,1
525,5,3,1
526,3,3,2
527,4,4,3
528,4,4,3
529,2,2,3
530,2,1,2
531,4,2,1
532,2,1,2
533,4,2,1
534,1,1,3
535,1,1,2
536,3,2,2
537,3,2,2
538,0,0,3
539,5,3,1
540,3,1,1
541,3,2,2
542,3,2,2
543,1,1,2
544,4,2,1
545,3,2,2
546,0,0,3
547,1,1,3
548,3,2,2
549,1,1,3
550,2,1,2
551,0,0,3
552,2,1,2
553,3,2,2
554,4,3,1
555,1,1,3
556,3,3,2
557,5,3,2
558,5,3,2
559,7,3,1
560,2,2,2
561,1,1,2
562,2,1,1
563,1,1,3
564,3,2,1
565,1,1,2
566,7,4,1
567,4,2,1
568,1,1,2
569,3,2,2
570,3,2,2
571,2,1,2
572,2,2,2
573,4,2,2
574,5,2,1
575,9,4,1
576,4,3,1
577,3,2,2
578,1,1,3
579,9,5,1
580,4,2,1
581,1,1,2
582,0,0,3
583,5,3,2
584,0,0,3
585,0,0,3
586,2,2,2
587,4,2,1
588,0,0,3
589,2,1,2
590,1,1,2
591,1,1,3
592,2,2,2
593,1,1,2
594,0,0,3
595,2,2,2
596,1,1,3
597,3,3,2
598,6,6,2
599,6,5,2
600,1,1,3
601,0,0,3
602,2,1,2
603,7,3,1
604,4,4,3
605,3,3,2
606,0,0,3
607,2,1,1
608,1,1,2
609,0,0,3
610,6,3,2
611,5,4,2
612,8,4,1
613,4,3,2
614,1,1,3
615,5,4,2
616,4,3,2
617,5,3,1
618,6,6,3
619,5,2,1
620,1,1,2
621,1,1,2
622,6,4,2
623,1,1,2
624,3,2,2
625,3,1,1
626,3,2,2
627,3,2,2
628,6,5,2
629,2,1,2
630,5,3,1
631,0,0,3
632,3,2,2
633,3,3,2
634,3,2,2
635,1,1,2
636,1,1,2
637,5,3,1
638,0,0,3
639,2,2,3
640,4,2,1
641,6,4,1
642,0,0,3
643,3,2,1
644,5,4,2
645,4,4,3
646,2,1,1
647,2,2,2
648,7,3,1
649,4,2,2
650,2,2,2
651,4,3,1
652,2,1,2
653,3,2,2
654,3,2,2
655,5,2,1
656,0,0,3
657,0,0,3
658,2,2,2
659,2,1,2
660,6,4,1
661,2,2,3
662,5,3,1
663,2,1,2
664,2,1,2
665,1,1,3
666,1,1,2
667,7,5,2
668,0,0,3
669,1,1,2
670,5,3,1
671,3,2,1
672,4,3,2
673,5,4,2
674,3,2,2
675,0,0,3
676,5,4,2
677,2,2,2
678,3,3,2
679,4,4,3
680,0,0,3
681,1,1,2
682,2,2,3
683,5,4,2
684,1,1,3
685,3,2,2
686,1,1,2
687,1,1,2
688,2,2,2
689,7,5,1
690,4,3,1
691,3,2,1
692,2,2,3
693,5,3,1
694,1,1,2
695,0,0,3
696,5,4,1
697,1,1,2
698,4,2,1
699,2,1,1
700,1,1,2
701,3,2,2
702,3,3,2
703,3,2,2
704,1,1,2
705,0,0,3
706,2,2,2
707,1,1,3
708,6,3,1
709,0,0,3
710,2,2,3
711,1,1,2
712,0,0,3
713,0,0,3
714,6,3,1
715,6,6,3
716,2,2,2
717,0,0,3
718,3,2,2
719,4,2,1
720,8,3,1
721,7,3,1
722,6,4,1
723,5,4,2
724,6,3,1
725,1,1,2
726,3,2,2
727,1,1,3
728,1,1,2
729,2,2,2
730,3,3,2
731,0,0,3
732,1,1,3
733,0,0,3
734,0,0,3
735,8,4,1
736,2,2,2
737,4,3,2
738,1,1,2
739,3,2,2
740,2,1,2
741,2,1,2
742,4,3,2
743,4,2,1
744,3,2,2
745,1,1,2
746,3,2,2
747,1,1,2
748,0,0,3
749,4,2,1
750,5,3,2
751,10,6,1
752,4,2,2
753,2,2,2
754,8,4,1
755,0,0,3
756,3,3,3
757,3,2,2
758,3,2,1
759,4,3,2
760,2,1,2
761,3,3,3
762,4,3,1
763,1,1,3
764,1,1,2
765,3,2,2
766,8,4,1
767,3,2,1
768,4,2,1
769,0,0,3
770,0,0,3
771,2,1,2
772,4,3,2
773,3,2,2
774,7,4,2
775,1,1,2
776,2,2,2
777,1,1,3
778,1,1,2
779,6,5,2
780,5,3,2
781,5,3,2
782,3,2,2
783,6,4,2
784,2,2,2
785,2,2,2
786,2,1,2
787,4,2,1
788,3,1,1
789,4,2,1
790,0,0,3
791,5,3,2
792,3,2,2
793,5,4,1
794,5,4,2
795,0,0,3
796,4,2,1
797,4,3,2
798,1,1,2
799,5,3,2
800,13,6,1
801,0,0,3
802,9,5,1
803,3,2,2
804,2,1,1
805,3,2,2
806,2,1,2
807,4,3,2
808,5,2,1
809,1,1,3
810,3,2,2
811,3,3,3
812,0,0,3
813,1,1,3
814,1,1,2
815,2,1,2
816,4,3,2
817,4,3,2
818,4,3,2
819,1,1,2
820,4,4,3
821,3,1,1
822,1,1,2
823,1,1,2
824,2,1,1
825,3,2,2
826,2,1,2
827,0,0,3
828,4,2,2
829,1,1,2
830,2,2,2
831,7,6,2
832,3,2,2
833,0,0,3
834,3,2,2
835,1,1,2
836,1,1,2
837,3,1,1
838,2,1,2
839,1,1,2
840,2,2,2
841,8,4,1
842,12,5,1
843,5,4,2
844,4,3,2
845,2,1,1
846,1,1,3
847,0,0,3
848,2,1,2
849,1,1,3
850,2,2,2
851,6,4,1
852,2,1,2
853,3,2,2
854,2,1,2
855,1,1,2
856,2,2,3
857,8,4,1
858,1,1,3
859,0,0,3
860,4,3,1
861,4,2,1
862,4,4,2
863,1,1,2
864,6,3,2
865,6,4,2
866,5,4,2
867,3,3,3
868,1,1,2
869,4,3,2
870,4,4,2
871,3,2,2
872,1,1,3
873,2,1,1
874,8,3,1
875,0,0,3
876,0,0,3
877,3,3,2
878,1,1,2
879,0,0,3
880,2,1,2
881,3,3,2
882,1,1,2
883,2,1,1
884,5,5,2
885,1,1,2
886,2,1,1
887,4,2,1
888,6,3,2
889,1,1,2
890,2,1,2
891,2,1,2
892,0,0,3
893,1,1,2
894,3,2,2
895,1,1,2
896,3,3,2
897,9,7,1
898,1,1,2
899,3,2,2
900,2,2,3
901,0,0,3
902,2,1,1
903,2,2,3
904,0,0,3
905,2,1,1
906,2,1,1
907,4,3,1
908,3,2,2
909,1,1,3
910,2,1,2
911,0,0,3
912,4,2,2
913,5,3,1
914,1,1,3
915,4,3,2
916,2,2,3
917,6,3,1
918,2,1,2
919,2,1,2
920,7,3,1
921,2,2,2
922,3,2,1
923,5,4,1
924,5,2,1
925,4,3,2
926,1,1,2
927,4,4,2
928,2,2,2
929,3,2,2
930,0,0,3
931,7,5,2
932,3,2,1
933,2,1,2
934,1,1,2
935,0,0,3
936,1,1,3
937,2,2,2
938,0,0,3
939,4,4,3
940,12,6,1
941,4,2,1
942,8,7,2
943,2,1,2
944,2,2,2
945,1,1,3
946,3,2,2
947,6,3,1
948,2,1,2
949,4,3,2
950,1,1,3
951,8,5,1
952,4,3,2
953,3,2,1
954,0,0,3
955,4,2,1
956,2,1,1
957,1,1,3
958,2,1,1
959,0,0,3
960,1,1,2
961,1,1,3
962,2,2,2
963,2,1,2
964,1,1,2
965,3,3,2
966,5,3,1
967,0,0,3
968,0,0,3
969,3,1,1
970,0,0,3
971,1,1,3
972,0,0,3
973,4,3,2
974,1,1,3
975,7,4,1
976,0,0,3
977,5,3,1
978,8,4,2
979,0,0,3
980,4,2,1
981,5,4,1
982,1,1,3
983,2,2,2
984,3,2,2
985,3,2,2
986,5,2,1
987,1,1,2
988,3,2,1
989,1,1,2
990,1,1,2
991,2,2,3
992,7,4,1
993,2,2,3
994,5,5,2
995,2,1,1
996,6,4,1
997,7,7,3
998,6,3,1
999,4,2,1
1000,2,1,1
1001,2,1,1
1002,3,2,2
1003,5,2,1
1004,4,4,2
1005,3,3,2
1006,0,0,3
1007,2,1,2
1008,1,1,3
1009,1,1,3
1010,4,3,2
1011,0,0,3
1012,6,5,2
1013,2,2,2
1014,0,0,3
1015,5,3,2
1016,6,4,1
1017,3,1,1
1018,2,1,2
1019,1,1,2
1020,1,1,3
1021,5,3,1
1022,1,1,2
1023,2,2,2
1024,4,2,1
1025,2,1,2
1026,1,1,2
1027,3,2,1
1028,1,1,2
1029,2,1,1
1030,0,0,3
1031,0,0,3
1032,2,2,2
1033,0,0,3
1034,4,2,1
1035,4,3,2
1036,2,1,2
1037,3,2,2
1038,3,3,2
1039,1,1,3
1040,1,1,2
1041,5,4,2
1042,9,5,1
1043,3,3,3
1044,4,2,1
1045,3,2,1
1046,3,2,1
1047,3,2,2
1048,5,5,3
1049,3,2,2
1050,2,2,2
1051,6,3,1
1052,2,2,2
1053,2,1,1
1054,2,1,2
1055,7,4,1
1056,0,0,3
1057,5,5,3
1058,5,2,1
1059,5,2,1
1060,4,4,2
1061,0,0,3
1062,2,2,3
1063,2,2,2
1064,3,3,3
1065,3,1,1
1066,6,4,2
1067,5,3,1
1068,0,0,3
1069,5,3,2
1070,4,3,1
1071,1,1,3
1072,1,1,3
1073,2,2,2
1074,3,1,1
1075,2,1,2
1076,4,2,2
1077,3,2,1
1078,6,3,1
1079,3,2,1
1080,2,2,2
1081,4,3,1
1082,2,2,3
1083,2,1,2
1084,4,2,1
1085,2,1,2
1086,1,1,2
1087,1,1,2
1088,0,0,3
1089,0,0,3
1090,6,4,1
1091,2,1,1
1092,5,4,2
1093,1,1,2
1094,5,4,2
1095,0,0,3
1096,2,1,2
1097,2,2,3
1098,4,2,1
1099,2,1,2
1100,1,1,2
1101,1,1,2
1102,9,5,2
1103,1,1,2
1104,0,0,3
1105,0,0,3
1106,7,4,1
1107,3,2,2
1108,0,0,3
1109,6,4,2
1110,0,0,3
1111,1,1,2
1112,1,1,2
1113,3,2,1
1114,4,3,2
1115,2,2,3
1116,3,3,2
1117,1,1,2
1118,7,4,1
1119,2,2,2
1120,0,0,3
1121,4,3,2
1122,1,1,3
1123,0,0,3
1124,5,3,1
1125,7,4,2
1126,8,7,1
1127,0,0,3
1128,0,0,3
1129,3,1,1
1130,5,3,2
1131,13,6,1
1132,2,1,2
1133,2,2,3
1134,2,2,2
1135,5,3,1
1136,6,3,1
1137,5,3,2
1138,2,2,3
1139,2,1,2
1140,4,2,2
1141,6,4,2
1142,0,0,3
1143,7,4,2
1144,1,1,3
1145,7,4,1
1146,7,6,2
1147,6,5,2
1148,3,3,2
1149,6,4,1
1150,4,4,2
1151,6,3,1
1152,1,1,2
1153,6,3,2
1154,3,3,2
1155,1,1,3
1156,0,0,3
1157,1,1,2
1158,4,2,1
1159,2,2,2
1160,2,2,2
1161,2,2,2
1162,1,1,2
1163,2,2,2
1164,0,0,3
1165,2,2,2
1166,0,0,3
1167,3,2,1
1168,3,2,2
1169,6,4,1
1170,1,1,2
1171,1,1,3
1172,6,3,2
1173,5,5,2
1174,3,3,2
1175,7,4,1
1176,2,2,2
1177,7,4,1
1178,2,2,3
1179,2,1,2
1180,6,5,2
1181,2,2,2
1182,2,1,2
1183,1,1,2
1184,0,0,3
1185,4,3,2
1186,0,0,3
1187,1,1,3
1188,1,1,2
1189,8,5,1
1190,2,1,2
1191,2,1,1
1192,2,1,1
1193,4,2,2
1194,1,1,3
1195,1,1,2
1196,3,3,3
1197,2,2,2
1198,3,2,1
1199,2,1,2
1200,2,2,2
1201,4,2,2
1202,2,2,2
1203,1,1,2
1204,1,1,2
